Ano,Clube,Posicao,Pontos,Receita_Total_Mi,Folha_Salarial_Mi,Valor_Mercado_Mi,Gastos_Transferencias_Mi,SAF
2020,Flamengo,1,71,750.0,220.0,700.0,150.0,Não
2020,Internacional,2,70,330.0,150.0,300.0,40.0,Não
2020,Atletico-MG,3,68,400.0,180.0,450.0,180.0,Sim
2020,Sao Paulo,4,66,450.0,160.0,350.0,50.0,Não
2020,Fluminense,5,64,250.0,100.0,200.0,20.0,Não
2020,Gremio,6,59,400.0,160.0,350.0,60.0,Não
2020,Palmeiras,7,58,600.0,200.0,600.0,100.0,Não
2020,Santos,8,54,280.0,120.0,250.0,30.0,Não
2020,Athletico-PR,9,53,290.0,110.0,220.0,40.0,Não
2020,Bragantino,10,53,200.0,90.0,180.0,80.0,Sim
2020,Ceara,11,52,NA,NA,NA,NA,Não
2020,Corinthians,12,51,400.0,170.0,350.0,30.0,Não
2020,Atletico-GO,13,50,NA,NA,NA,NA,Não
2020,Bahia,14,44,180.0,80.0,150.0,20.0,Sim
2020,Sport,15,42,NA,NA,NA,NA,Não
2020,Fortaleza,16,41,120.0,60.0,100.0,10.0,Sim
2020,Vasco,17,41,200.0,110.0,180.0,25.0,Sim
2020,Goias,18,37,NA,NA,NA,NA,Não
2020,Coritiba,19,31,NA,NA,NA,NA,Sim
2020,Botafogo,20,27,160.0,90.0,150.0,15.0,Sim
2021,Atletico-MG,1,84,500.0,250.0,550.0,150.0,Sim
2021,Flamengo,2,71,1050.0,300.0,800.0,120.0,Não
2021,Palmeiras,3,66,900.0,250.0,750.0,80.0,Não
2021,Fortaleza,4,58,170.0,80.0,150.0,15.0,Sim
2021,Corinthians,5,57,500.0,200.0,400.0,40.0,Não
2021,Bragantino,6,56,250.0,110.0,250.0,60.0,Sim
2021,Fluminense,7,54,300.0,120.0,250.0,30.0,Não
2021,America-MG,8,53,NA,NA,NA,NA,Sim
2021,Atletico-GO,9,53,NA,NA,NA,NA,Não
2021,Santos,10,50,300.0,130.0,220.0,25.0,Não
2021,Ceara,11,50,NA,NA,NA,NA,Não
2021,Internacional,12,48,380.0,170.0,300.0,35.0,Não
2021,Sao Paulo,13,48,450.0,180.0,350.0,40.0,Não
2021,Athletico-PR,14,47,350.0,130.0,280.0,45.0,Não
2021,Cuiaba,15,47,NA,NA,NA,NA,Sim
2021,Juventude,16,46,NA,NA,NA,NA,Não
2021,Gremio,17,43,450.0,190.0,300.0,50.0,Não
2021,Bahia,18,43,200.0,90.0,150.0,20.0,Sim
2021,Sport,19,38,NA,NA,NA,NA,Não
2021,Chapecoense,20,15,NA,NA,NA,NA,Não
2022,Palmeiras,1,81,856.0,280.0,850.0,100.0,Não
2022,Internacional,2,73,430.0,190.0,350.0,45.0,Não
2022,Fluminense,3,70,347.0,150.0,350.0,40.0,Não
2022,Corinthians,4,65,779.0,250.0,500.0,60.0,Não
2022,Flamengo,5,62,1177.0,350.0,900.0,200.0,Não
2022,Athletico-PR,6,58,380.0,150.0,300.0,55.0,Não
2022,Atletico-MG,7,58,397.0,240.0,600.0,80.0,Sim
2022,Fortaleza,8,55,260.0,110.0,200.0,30.0,Sim
2022,Sao Paulo,9,54,650.0,220.0,450.0,60.0,Não
2022,America-MG,10,53,NA,NA,NA,NA,Sim
2022,Botafogo,11,53,300.0,140.0,300.0,120.0,Sim
2022,Santos,12,47,340.0,140.0,250.0,30.0,Não
2022,Goias,13,46,NA,NA,NA,NA,Não
2022,Bragantino,14,44,300.0,120.0,280.0,50.0,Sim
2022,Coritiba,15,42,NA,NA,NA,NA,Sim
2022,Cuiaba,16,41,NA,NA,NA,NA,Sim
2022,Ceara,17,37,NA,NA,NA,NA,Não
2022,Atletico-GO,18,36,NA,NA,NA,NA,Não
2022,Avai,19,35,NA,NA,NA,NA,Não
2022,Juventude,20,22,NA,NA,NA,NA,Não
2023,Palmeiras,1,70,908.0,300.0,900.0,120.0,Não
2023,Gremio,2,68,450.0,220.0,350.0,40.0,Não
2023,Atletico-MG,3,66,350.0,240.0,550.0,50.0,Sim
2023,Flamengo,4,66,1374.0,400.0,1000.0,250.0,Não
2023,Botafogo,5,64,388.0,180.0,450.0,100.0,Sim
2023,Bragantino,6,62,350.0,130.0,300.0,60.0,Sim
2023,Fluminense,7,56,695.0,200.0,400.0,50.0,Não
2023,Athletico-PR,8,56,500.0,160.0,350.0,60.0,Não
2023,Internacional,9,55,500.0,210.0,400.0,40.0,Não
2023,Fortaleza,10,54,370.0,140.0,250.0,30.0,Sim
2023,Sao Paulo,11,53,680.0,250.0,500.0,80.0,Não
2023,Cuiaba,12,51,140.0,70.0,120.0,15.0,Sim
2023,Corinthians,13,50,1010.0,300.0,550.0,70.0,Não
2023,Cruzeiro,14,47,300.0,150.0,250.0,40.0,Sim
2023,Vasco,15,45,360.0,190.0,300.0,110.0,Sim
2023,Bahia,16,44,350.0,170.0,280.0,80.0,Sim
2023,Santos,17,43,400.0,180.0,350.0,50.0,Não
2023,Goias,18,38,NA,NA,NA,NA,Não
2023,Coritiba,19,30,NA,NA,NA,NA,Sim
2023,America-MG,20,24,NA,NA,NA,NA,Sim
2024,Botafogo,1,79,550.0,250.0,600.0,180.0,Sim
2024,Palmeiras,2,73,1274.0,350.0,1050.0,180.0,Não
2024,Flamengo,3,73,1334.0,450.0,1100.0,300.0,Não
2024,Fortaleza,4,68,420.0,160.0,300.0,50.0,Sim
2024,Internacional,5,68,550.0,230.0,450.0,60.0,Não
2024,Sao Paulo,6,59,731.0,280.0,550.0,90.0,Não
2024,Corinthians,7,56,1115.0,320.0,600.0,150.0,Não
2024,Bahia,8,53,450.0,200.0,350.0,120.0,Sim
2024,Cruzeiro,9,52,400.0,180.0,350.0,100.0,Sim
2024,Vasco,10,50,420.0,210.0,380.0,90.0,Sim
2024,Vitoria,11,47,NA,NA,NA,NA,Não
2024,Atletico-MG,12,47,674.0,250.0,550.0,60.0,Sim
2024,Fluminense,13,46,684.0,220.0,450.0,40.0,Não
2024,Gremio,14,45,500.0,240.0,400.0,50.0,Não
2024,Juventude,15,45,NA,NA,NA,NA,Não
2024,Bragantino,16,44,380.0,140.0,320.0,50.0,Sim
2024,Athletico-PR,17,42,450.0,150.0,300.0,40.0,Não
2024,Criciuma,18,38,NA,NA,NA,NA,Não
2024,Cuiaba,19,29,NA,NA,NA,NA,Sim
2024,Atletico-GO,20,26,NA,NA,NA,NA,Não
